title,listing_type,city,zip_code,numerical_descriptors,amenities,dates,rating,num_reviews,discounted,original_value,price_per_night,cleaning_fee,service_fee
Private Self Checkin Apartment 7 mins to SFO,entire rental unit,San Bruno,94128,3 guests - 1 bedroom - 1 bed - 1 bath,Wifi - Kitchen,Dec 10 – 12,4.87,362,False,,110.0,50.0,38.0
GREAT DEAL! Newly Furnished - Close to Airport,entire rental unit,San Bruno,94128,4 guests - 1 bedroom - 1 bed - 1 bath,Wifi - Free parking - Kitchen,Dec 24 – 26,4.71,91,False,,106.0,90.0,42.0
A4- SFO Airport Layover Convenient Stay,private room,Millbrae,94128,2 guests - 1 bedroom - 1 bed - 2 shared baths,Wifi - Kitchen,Dec 3 – 5,,0,False,,49.0,25.0,17.0
♥ Guest Suite - Convenient to Airport & BART/CAL,entire guest suite,San Bruno,94128,2 guests - 1 bedroom - 1 bed - 1 bath,Wifi - Kitchen,Dec 10 – 12,4.59,85,False,,75.0,85.0,33.0
Charming Private Studio Near SFO,entire guest suite,Millbrae,94128,2 guests - 1 bedroom - 1 bed - 1 bath,Wifi - Free parking,Dec 24 – 26,4.77,823,True,101.0,85.0,25.0,28.0
"Beautiful Studio, super clean close to SFO.",entire guest suite,San Bruno,94128,3 guests - Studio - 2 beds - 1 bath,Wifi - Free parking,Dec 3 – 5,4.86,189,False,,79.0,39.0,28.0
"Private garden bedroom near SFO, BART  & CalTrans",private room,San Bruno,94128,2 guests - 1 bedroom - 1 bed - 1 private bath,Wifi - Free parking,Dec 24 – 26,4.94,106,False,,70.0,30.0,24.0
Cheerful one-bedroom residential home,entire residential home,San Bruno,94128,4 guests - 1 bedroom - 1 bed - 1 bath,Wifi - Free parking - Kitchen - Washer,Dec 17 – 19,4.82,11,False,,118.0,54.0,41.0
Deep cleaning旧金山机场附近Millbrae高尚住宅区全新装修独立卫生间温馨舒适套房,private room,Millbrae,94128,2 guests - 1 bedroom - 1 bed - 1 private bath,Wifi - Free parking - Kitchen - Washer,Dec 10 – 12,4.73,176,True,73.0,66.0,25.0,22.0
Cozy room near SFO  (Room 2),private room,San Bruno,94128,2 guests - 1 bedroom - 1 bed - 1 shared bath,Wifi,Dec 31 – Jan 2,4.74,202,False,,65.0,30.0,23.0
Rm3: SFO BRIGHT/COZY 1Bed&Bath *FREEPARKING*,private room,San Bruno,94128,3 guests - 1 bedroom - 1 bed - 1 private bath,Wifi - Free parking,Dec 3 – 5,4.25,79,False,,55.0,45.0,22.0
A comfortable place to stay when u traveling in SF,entire residential home,San Bruno,94128,3 guests - Studio - 1 bed - 1 bath,Wifi - Free parking - Kitchen - Washer,Dec 24 – 26,,0,False,,73.0,10.0,22.0
"228-Walker Paradise, Mins to SFO Transit & Freeway",entire residential home,San Bruno,94128,4 guests - 2 bedrooms - 2 beds - 1 bath,Wifi - Free parking - Kitchen - Washer,Dec 17 – 19,5.0,6,False,,154.0,110.0,59.0
Entire private guest suite for you!,entire guest suite,San Bruno,94128,2 guests - 1 bedroom - 1 bed - 1 bath,Wifi - Free parking,Dec 17 – 19,4.85,26,False,,85.0,60.0,32.0
♥️ Studio ~8 mins SFO~Walk to DT/Train/Bart/YouTube,entire guest suite,San Bruno,94128,2 guests - Studio - 2 beds - 1 bath,Wifi - Kitchen - Washer,Dec 17 – 19,4.51,99,False,,94.0,75.0,37.0
Deep cleaning旧金山机场附近Millbrae高尚住宅区温馨舒适双床大房,private room,Millbrae,94128,4 guests - 1 bedroom - 2 beds - 1 shared bath,Wifi - Free parking - Kitchen - Washer,Dec 10 – 12,4.65,251,True,73.0,66.0,25.0,22.0
Affordable 1Bed/1Bath w/ Separated Living Room,entire rental unit,South San Francisco,94128,2 guests - Studio - 1 bed - 1 bath,Wifi - Washer,Dec 17 – 19,4.73,40,False,,70.0,55.0,28.0
888U - Country Lifestyle 3B2B Local Home in Millbrae Hill,entire residential home,Millbrae,94128,6 guests - 3 bedrooms - 3 beds - 2 baths,Wifi - Free parking - Kitchen - Washer,Dec 3 – 5,,0,True,200.0,150.0,150.0,64.0
